;posicao;linha;coluna;lexema;token
0;21;3;1;;TK_PROG
1;34;4;5;;TK_IMPRIMA
2;41;4;12;;TK_ABRE_PARENTESE
3;42;4;13;"""Digite um nro""";TK_CADEIA
4;57;4;28;;TK_FECHA_PARENTESE
5;63;5;5;;TK_LEIA
6;67;5;9;;TK_ABRE_PARENTESE
7;68;5;10;<numero>;TK_ID
8;76;5;18;;TK_FECHA_PARENTESE
9;82;6;5;<soma>;TK_ID
10;89;6;12;;TK_OP_ATRIBUICAO
11;92;6;15;<a>;TK_ID
12;96;6;19;;TK_OP_SOMA
13;98;6;21;8D.3;TK_NUMERO
14;107;7;5;;TK_IMPRIMA
15;114;7;12;;TK_ABRE_PARENTESE
16;115;7;13;<raiz>;TK_ID
17;121;7;19;;TK_FECHA_PARENTESE
18;125;8;1;;TK_FPROG
